step,correct_count,score,time_delta
0,96,0.032,1.5966424942016602
1,119,0.035833333333333335,11.846060037612915
2,116,0.03677777777777778,3.3303380012512207
3,114,0.037083333333333336,3.6344261169433594
4,135,0.03866666666666667,3.5876262187957764
5,116,0.03866666666666667,3.461359977722168
6,112,0.038476190476190476,3.6646337509155273
7,118,0.03858333333333333,3.5222415924072266
8,124,0.03888888888888889,3.8666627407073975
9,97,0.038233333333333334,3.8385844230651855
10,119,0.038363636363636364,4.575634956359863
11,130,0.03877777777777778,3.999506711959839
12,137,0.03930769230769231,3.86637544631958
13,111,0.039142857142857146,3.934832811355591
14,126,0.03933333333333333,3.7681891918182373
15,119,0.03935416666666667,3.708021879196167
16,122,0.03943137254901961,3.7592337131500244
17,164,0.04027777777777778,4.019559860229492
18,147,0.040736842105263155,3.805420160293579
19,129,0.04085,3.876920700073242
20,120,0.04080952380952381,5.139252185821533
21,126,0.040863636363636366,4.118566989898682
22,125,0.04089855072463768,3.7301533222198486
23,135,0.04106944444444444,3.8757386207580566
24,143,0.04133333333333333,3.599315881729126
25,99,0.041012820512820514,3.8320045471191406
26,129,0.04108641975308642,3.9843618869781494
27,136,0.04123809523809524,3.720501184463501
28,146,0.04149425287356322,3.7833027839660645
29,129,0.041544444444444446,3.922081470489502
30,140,0.041709677419354836,5.733822822570801
31,134,0.04180208333333333,3.877495288848877
32,125,0.0417979797979798,3.822178602218628
33,134,0.04188235294117647,3.869696617126465
34,120,0.04182857142857143,3.8007726669311523
35,132,0.04188888888888889,3.5623984336853027
36,143,0.04204504504504505,3.775209665298462
37,122,0.042008771929824565,3.967477560043335
38,145,0.04217094017094017,3.809798240661621
39,137,0.042258333333333335,3.777998685836792
40,141,0.0423739837398374,6.435779333114624
41,148,0.04253968253968254,3.9103455543518066
42,134,0.042589147286821706,3.791875123977661
43,99,0.04237121212121212,3.736093044281006
44,134,0.04242222222222222,3.818873882293701
45,150,0.04258695652173913,3.6841795444488525
46,133,0.042624113475177305,3.81144118309021
47,110,0.0425,3.717419385910034
48,131,0.042523809523809526,3.8436903953552246
49,146,0.042646666666666666,3.9292476177215576
50,139,0.04271895424836601,7.390239477157593
51,148,0.042846153846153846,3.7840676307678223
52,120,0.042792452830188676,3.941448926925659
53,148,0.04291358024691358,3.816697597503662
54,130,0.042921212121212124,3.792365074157715
55,124,0.04289285714285714,3.872154951095581
56,145,0.04298830409356725,3.9113192558288574
57,146,0.043086206896551724,4.698348760604858
58,132,0.043101694915254236,4.518958568572998
59,128,0.04309444444444444,4.235302925109863
60,155,0.04323497267759563,10.681226015090942
61,148,0.043333333333333335,5.532392501831055
62,139,0.04338095238095238,7.4884843826293945
63,122,0.04333854166666667,5.413653135299683
64,129,0.043333333333333335,5.23900032043457
65,120,0.043282828282828284,5.917299509048462
66,137,0.04331840796019901,7.325120210647583
67,115,0.04324509803921569,7.674920558929443
68,139,0.043289855072463766,6.633185625076294
69,136,0.04331904761904762,5.464619398117065
70,147,0.04339906103286385,14.046736001968384
71,132,0.04340740740740741,5.817515850067139
72,148,0.04348858447488584,5.512628555297852
73,152,0.04358558558558558,5.563352108001709
74,148,0.04366222222222222,5.581039905548096
75,138,0.04369298245614035,4.6039793491363525
76,121,0.043649350649350646,4.9605488777160645
77,143,0.0437008547008547,5.227241039276123
78,121,0.043658227848101264,4.99533486366272
79,122,0.04362083333333333,5.5644354820251465
80,163,0.04375308641975308,14.506539106369019
81,147,0.043817073170731705,4.227460622787476
82,132,0.04381927710843374,4.793776273727417
83,134,0.04382936507936508,7.935914039611816
84,151,0.043905882352941177,8.42650842666626
85,144,0.04395348837209302,10.25055456161499
86,123,0.043919540229885055,8.95476746559143
87,137,0.04393939393939394,6.616621494293213
88,111,0.043861423220973784,8.279539823532104
89,127,0.04384444444444444,8.571043729782104
90,140,0.04387545787545787,20.166649341583252
91,150,0.043942028985507246,11.403114080429077
92,126,0.043921146953405016,10.301632404327393
93,153,0.04399645390070922,9.993513822555542
94,129,0.043985964912280705,10.477396965026855
95,127,0.04396875,10.501347064971924
96,122,0.04393470790378007,9.59618091583252
97,129,0.04392517006802721,10.27656078338623
98,155,0.044003367003367,9.61489748954773
99,138,0.04402333333333333,9.187000274658203
